C_Code,SpecCode,country,Species,database,synonym,Status,Genus,Family,Order,Class,CommonName,Fresh,Brack,Saltwater
056,38888,Belgium,Alitta virens,sealifebase,Alitta virens,accepted name,Alitta,Nereididae,Phyllodocida,Polychaeta,King ragworm,0,1,1
056,38888,Belgium,Alitta virens,sealifebase,Neanthes virens,synonym,Alitta,Nereididae,Phyllodocida,Polychaeta,King ragworm,0,1,1
056,38888,Belgium,Alitta virens,sealifebase,Nereis virens,synonym,Alitta,Nereididae,Phyllodocida,Polychaeta,King ragworm,0,1,1
056,140693,Belgium,Alloteuthis media,sealifebase,Alloteuthis media,accepted name,Alloteuthis,Loliginidae,Myopsida,Cephalopoda,Midsize squid,0,1,1
056,140693,Belgium,Alloteuthis media,sealifebase,Loligo marmorae,synonym,Alloteuthis,Loliginidae,Myopsida,Cephalopoda,Midsize squid,0,1,1
056,140693,Belgium,Alloteuthis media,sealifebase,Loligo parva,synonym,Alloteuthis,Loliginidae,Myopsida,Cephalopoda,Midsize squid,0,1,1
056,140693,Belgium,Alloteuthis media,sealifebase,Loligo urceolatus,synonym,Alloteuthis,Loliginidae,Myopsida,Cephalopoda,Midsize squid,0,1,1
056,140693,Belgium,Alloteuthis media,sealifebase,Sepia media,synonym,Alloteuthis,Loliginidae,Myopsida,Cephalopoda,Midsize squid,0,1,1
056,57073,Belgium,Alloteuthis subulata,sealifebase,Alloteuthis subulata,accepted name,Alloteuthis,Loliginidae,Myopsida,Cephalopoda,European common squid,0,0,1
056,57073,Belgium,Alloteuthis subulata,sealifebase,Loligo media,synonym,Alloteuthis,Loliginidae,Myopsida,Cephalopoda,European common squid,0,0,1
056,57073,Belgium,Alloteuthis subulata,sealifebase,Loligo subulata,synonym,Alloteuthis,Loliginidae,Myopsida,Cephalopoda,European common squid,0,0,1
056,57073,Belgium,Alloteuthis subulata,sealifebase,Sepiola subalata,synonym,Alloteuthis,Loliginidae,Myopsida,Cephalopoda,European common squid,0,0,1
056,24659,Belgium,Alpheus macrocheles,sealifebase,Alpheus macrocheles,accepted name,Alpheus,Alpheidae,Decapoda,Malacostraca,Red pistol shrimp,0,1,1
056,3719,Belgium,Alvania lactea,sealifebase,Alvania lactea,accepted name,Alvania,Rissoidae,Littorinimorpha,Gastropoda,NA,0,0,1
056,141761,Belgium,Ammonia beccarii,sealifebase,Ammonia beccarii,accepted name,Ammonia,Rotaliidae,Rotaliida,Globothalamea,NA,0,0,1
056,56353,Belgium,Ammothella longipes,sealifebase,Ammothella longipes,accepted name,Ammothella,Ammotheidae,Pantopoda,Pycnogonida,NA,0,0,1
056,56353,Belgium,Ammothella longipes,sealifebase,Ammothella magnirostris,synonym,Ammothella,Ammotheidae,Pantopoda,Pycnogonida,NA,0,0,1
056,56353,Belgium,Ammothella longipes,sealifebase,Amothella hispida,synonym,Ammothella,Ammotheidae,Pantopoda,Pycnogonida,NA,0,0,1
056,23958,Belgium,Ampelisca brevicornis,sealifebase,Ampelisca brevicornis,accepted name,Ampelisca,Ampeliscidae,Amphipoda,Malacostraca,NA,0,1,1
056,23958,Belgium,Ampelisca brevicornis,sealifebase,Ampelisca retangula,synonym,Ampelisca,Ampeliscidae,Amphipoda,Malacostraca,NA,0,1,1
056,23956,Belgium,Ampelisca spinipes,sealifebase,Ampelisca spinipes,accepted name,Ampelisca,Ampeliscidae,Amphipoda,Malacostraca,NA,0,0,1
056,23957,Belgium,Ampelisca typica,sealifebase,Ampelisca typica,accepted name,Ampelisca,Ampeliscidae,Amphipoda,Malacostraca,NA,0,0,1
056,40917,Belgium,Ampharete acutifrons,sealifebase,Ampharete acutifrons,accepted name,Ampharete,Ampharetidae,Terebellida,Polychaeta,NA,0,0,1
056,40917,Belgium,Ampharete acutifrons,sealifebase,Amphicteis acutifrons,synonym,Ampharete,Ampharetidae,Terebellida,Polychaeta,NA,0,0,1
056,23998,Belgium,Amphilochus manudens,sealifebase,Amphilochus manudens,accepted name,Amphilochus,Amphilochidae,Amphipoda,Malacostraca,NA,0,0,1
056,43173,Belgium,Amphinema dinema,sealifebase,Amphinema dinema,accepted name,Amphinema,Pandeidae,Anthoathecata,Hydrozoa,NA,0,0,1
056,43173,Belgium,Amphinema dinema,sealifebase,Oceania dinema,synonym,Amphinema,Pandeidae,Anthoathecata,Hydrozoa,NA,0,0,1
056,49427,Belgium,Amphipholis squamata,sealifebase,Amphiopholis squamata,synonym,Amphipholis,Amphiuridae,Amphilepidida,Ophiuroidea,Dwarf brittle star,0,1,1
056,49427,Belgium,Amphipholis squamata,sealifebase,Amphioplus squamata,synonym,Amphipholis,Amphiuridae,Amphilepidida,Ophiuroidea,Dwarf brittle star,0,1,1
056,49427,Belgium,Amphipholis squamata,sealifebase,Amphipholis squamata,accepted name,Amphipholis,Amphiuridae,Amphilepidida,Ophiuroidea,Dwarf brittle star,0,1,1
056,49427,Belgium,Amphipholis squamata,sealifebase,Amphiura squamata,synonym,Amphipholis,Amphiuridae,Amphilepidida,Ophiuroidea,Dwarf brittle star,0,1,1
056,49427,Belgium,Amphipholis squamata,sealifebase,Asterias squamata,synonym,Amphipholis,Amphiuridae,Amphilepidida,Ophiuroidea,Dwarf brittle star,0,1,1
056,49427,Belgium,Amphipholis squamata,sealifebase,Axiognathus squamatus,synonym,Amphipholis,Amphiuridae,Amphilepidida,Ophiuroidea,Dwarf brittle star,0,1,1
056,40459,Belgium,Amphitritides gracilis,sealifebase,Amphitritides gracilis,accepted name,Amphitritides,Terebellidae,Terebellida,Polychaeta,NA,0,0,1
056,40459,Belgium,Amphitritides gracilis,sealifebase,Terebella gracilis,synonym,Amphitritides,Terebellidae,Terebellida,Polychaeta,NA,0,0,1
056,49878,Belgium,Amphiura chiajei,sealifebase,Amphiura chiajei,accepted name,Amphiura,Amphiuridae,Amphilepidida,Ophiuroidea,NA,0,0,1
056,49879,Belgium,Amphiura filiformis,sealifebase,Amphiura filiformis,accepted name,Amphiura,Amphiuridae,Amphilepidida,Ophiuroidea,NA,0,0,1
056,90250,Belgium,Anapagurus hyndmanni,sealifebase,Anapagurus hyndmanni,accepted name,Anapagurus,Paguridae,Decapoda,Malacostraca,NA,0,0,1
056,89766,Belgium,Anapagurus laevis,sealifebase,Anapagurus laevis,accepted name,Anapagurus,Paguridae,Decapoda,Malacostraca,NA,0,0,1
056,20081,Belgium,Anchialina agilis,sealifebase,Anchialina agilis,accepted name,Anchialina,Mysidae,Mysida,Malacostraca,NA,0,0,1
056,9829,Belgium,Animoceradocus semiserratus,sealifebase,Animoceradocus semiserratus,accepted name,Animoceradocus,Maeridae,Amphipoda,Malacostraca,NA,0,0,1
056,9829,Belgium,Animoceradocus semiserratus,sealifebase,Ceradocus semiserratus,synonym,Animoceradocus,Maeridae,Amphipoda,Malacostraca,NA,0,0,1
