source,dbid,taxon,action,note,barcode
BOLD,KHA440-14.COI-5P,Cyanea capillata,REMOVE,Sativa: Bad quality sequence?,coi.lerayxt
BOLD,KHA441-14.COI-5P,Cyanea capillata,REMOVE,Sativa: Bad quality sequence?,coi.lerayxt
BOLD,KHA353-14.COI-5P,Aurelia aurita,REMOVE,Sativa: Bad quality sequence?,coi.lerayxt
BOLD,KHA347-14.COI-5P,Aurelia aurita,REMOVE,Sativa: Bad quality sequence?,coi.lerayxt
BOLD,KHA345-14.COI-5P,Aurelia aurita,REMOVE,Sativa: Bad quality sequence?,coi.lerayxt
BOLD,KHA351-14.COI-5P,Aurelia aurita,REMOVE,Sativa: Bad quality sequence?,coi.lerayxt
BOLD,KHA360-14.COI-5P,Aurelia aurita,REMOVE,Sativa: Bad quality sequence?,coi.lerayxt
BOLD,KHA346-14.COI-5P,Aurelia aurita,REMOVE,Sativa: Bad quality sequence?,coi.lerayxt
BOLD,KHA364-14.COI-5P,Aurelia aurita,REMOVE,Sativa: Bad quality sequence?,coi.lerayxt
BOLD,KHA348-14.COI-5P,Aurelia aurita,REMOVE,Sativa: Bad quality sequence?,coi.lerayxt
GENBANK,451752958,Procambarus clarkii,REMOVE,Sativa: Bad quality sequence?,coi.lerayxt
GENBANK,1015468221,Procambarus clarkii,REMOVE,Sativa: Bad quality sequence?,coi.lerayxt
BOLD,BNSC109-10.COI-5P,Jassa herdmani,REMOVE,Sativa: Bad quality sequence?,coi.lerayxt
GENBANK,289546351,Penaeus vannamei,REMOVE,Sativa: Bad quality sequence?,coi.lerayxt
BOLD,SWEMA194-15.COI-5P,Tridonta elliptica,REMOVE,Sativa: Bad quality sequence?,coi.lerayxt
GENBANK,62995804,Chondrus crispus,REMOVE,Sativa: Bad quality sequence?,coi.lerayxt
BOLD,ARCZO066-09.COI-5P,Hyperia galba,REMOVE,Sativa: Bad quality sequence?,coi.lerayxt
GENBANK,700259538,Chrysaora hysoscella,REMOVE,Sativa: Bad quality sequence?,coi.lerayxt
BOLD,MOLFI122-14.COI-5P,Macoma balthica,REMOVE,Sativa: Grouped with Pectinida,coi.lerayxt
BOLD,KBCSM613-14.COI-5P,Eucheilota maculata,REMOVE,Sativa: Grouped with Anthoathecata,coi.lerayxt
BOLD,KBCSM614-14.COI-5P,Eucheilota maculata,REMOVE,Sativa: Grouped with Anthoathecata,coi.lerayxt
BOLD,DFO067-11.COI-5P,Balanus crenatus,REMOVE,Sativa: Grouped with Sessilia,coi.lerayxt
BOLD,CCMAS032-21.COI-5P,Diplosoma listerianum,REMOVE,Sativa: Grouped with Stolidobranchia,coi.lerayxt
BOLD,BNSA060-12.COI-5P,Pseudoprotella phasma,REMOVE,Sativa: Grouped with Isopoda,coi.lerayxt
BOLD,BNSA061-12.COI-5P,Pseudoprotella phasma,REMOVE,Sativa: Grouped with Isopoda,coi.lerayxt
BOLD,BNSA059-12.COI-5P,Pseudoprotella phasma,REMOVE,Sativa: Grouped with Isopoda,coi.lerayxt
GENBANK,1430075056,Onchidoris bilamellata,REMOVE,Sativa: Grouped with Doridida,coi.lerayxt
BOLD,CRYNO642-19.COI-5P,Notomastus latericeus,REMOVE,Sativa: Grouped with Terebellida,coi.lerayxt
