C_Code,SpecCode,country,Species,database,synonym,Status,Genus,Family,Order,Class,CommonName,Fresh,Brack,Saltwater
056,42237,Belgium,Actinia equina,sealifebase,Actinia equina,accepted name,Actinia,Actiniidae,Actiniaria,Hexacorallia,Beadlet anemone,0,0,1
056,42237,Belgium,Actinia equina,sealifebase,Priapus equinus,synonym,Actinia,Actiniidae,Actiniaria,Hexacorallia,Beadlet anemone,0,0,1
056,42241,Belgium,Actinia fragacea,sealifebase,Actinia fragacea,accepted name,Actinia,Actiniidae,Actiniaria,Hexacorallia,Strawberry anemone,0,0,1
826,42562,UK,Actinostola callosa,sealifebase,Actinostola atrostoma,synonym,Actinostola,Actinostolidae,Actiniaria,Hexacorallia,Rough-skinned sea anemone,0,0,1
826,42562,UK,Actinostola callosa,sealifebase,Actinostola callosa,accepted name,Actinostola,Actinostolidae,Actiniaria,Hexacorallia,Rough-skinned sea anemone,0,0,1
826,42562,UK,Actinostola callosa,sealifebase,Catadiomene atrostoma,synonym,Actinostola,Actinostolidae,Actiniaria,Hexacorallia,Rough-skinned sea anemone,0,0,1
826,42562,UK,Actinostola callosa,sealifebase,Urticina callosa,synonym,Actinostola,Actinostolidae,Actiniaria,Hexacorallia,Rough-skinned sea anemone,0,0,1
826,7794,UK,Adalaria proxima,sealifebase,Adalaria albopapillosa,synonym,Adalaria,Onchidorididae,Nudibranchia,Gastropoda,Yellow false doris,0,0,1
826,7794,UK,Adalaria proxima,sealifebase,Adalaria proxima,accepted name,Adalaria,Onchidorididae,Nudibranchia,Gastropoda,Yellow false doris,0,0,1
826,7794,UK,Adalaria proxima,sealifebase,Adalaria virescens,synonym,Adalaria,Onchidorididae,Nudibranchia,Gastropoda,Yellow false doris,0,0,1
826,7794,UK,Adalaria proxima,sealifebase,Doris proxima,synonym,Adalaria,Onchidorididae,Nudibranchia,Gastropoda,Yellow false doris,0,0,1
826,7794,UK,Adalaria proxima,sealifebase,Onchidoris proxima,synonym,Adalaria,Onchidorididae,Nudibranchia,Gastropoda,Yellow false doris,0,0,1
826,1255,UK,Admete viridula,sealifebase,Admete viridula,accepted name,Admete,Cancellariidae,Neogastropoda,Gastropoda,Northern admete,0,0,1
826,1255,UK,Admete viridula,sealifebase,Tritonium viridula,synonym,Admete,Cancellariidae,Neogastropoda,Gastropoda,Northern admete,0,0,1
826,9879,UK,Aega monophthalma,sealifebase,Aega monophthalma,accepted name,Aega,Aegidae,Isopoda,Malacostraca,Fish biter,0,0,1
826,6810,UK,Aegires punctilucens,sealifebase,Aegires punctilucens,accepted name,Aegires,Aegiridae,Nudibranchia,Gastropoda,NA,0,0,1
056,8621,Belgium,Aeolidia papillosa,sealifebase,Aeolidia papillosa,accepted name,Aeolidia,Aeolidiidae,Nudibranchia,Gastropoda,Shag-rug aeolis,0,0,1
056,8621,Belgium,Aeolidia papillosa,sealifebase,Limax papillosa,synonym,Aeolidia,Aeolidiidae,Nudibranchia,Gastropoda,Shag-rug aeolis,0,0,1
826,8627,UK,Aeolidiella alderi,sealifebase,Aeolidiella alderi,accepted name,Aeolidiella,Aeolidiidae,Nudibranchia,Gastropoda,NA,0,0,1
528,708,Netherlands,Aeolidiella glauca,sealifebase,Aeolidiella glauca,accepted name,Aeolidiella,Aeolidiidae,Nudibranchia,Gastropoda,NA,0,0,1
826,47165,UK,Aequipecten glyptus,sealifebase,Aequipecten glyptus,accepted name,Aequipecten,Pectinidae,Pectinida,Bivalvia,Red-ribbed scallop,0,0,1
826,47167,UK,Aequipecten heliacus,sealifebase,Aequipecten heliacus,accepted name,Aequipecten,Pectinidae,Pectinida,Bivalvia,NA,0,0,1
826,47421,UK,Aequipecten opercularis,sealifebase,Aequipecten opercularis,accepted name,Aequipecten,Pectinidae,Pectinida,Bivalvia,Queen scallop,0,0,1
826,47421,UK,Aequipecten opercularis,sealifebase,Chlamys opercularis,synonym,Aequipecten,Pectinidae,Pectinida,Bivalvia,Queen scallop,0,0,1
826,47421,UK,Aequipecten opercularis,sealifebase,Pecten opercularis,synonym,Aequipecten,Pectinidae,Pectinida,Bivalvia,Queen scallop,0,0,1
056,43912,Belgium,Aequorea vitrina,sealifebase,Aequorea vitrina,accepted name,Aequorea,Aequoreidae,Leptothecata,Hydrozoa,NA,0,0,1
826,23012,UK,Agathotanais ingolfi,sealifebase,Agathotanais ingolfi,accepted name,Agathotanais,Agathotanaidae,Tanaidacea,Malacostraca,NA,0,0,1
826,44529,UK,Aglantha digitale,sealifebase,Aglantha digitale,accepted name,Aglantha,Rhopalonematidae,Trachymedusae,Hydrozoa,Pink helmet,0,0,1
826,44529,UK,Aglantha digitale,sealifebase,Aglantha digitalis,synonym,Aglantha,Rhopalonematidae,Trachymedusae,Hydrozoa,Pink helmet,0,0,1
826,44529,UK,Aglantha digitale,sealifebase,Atlanta digitale,synonym,Aglantha,Rhopalonematidae,Trachymedusae,Hydrozoa,Pink helmet,0,0,1
826,44529,UK,Aglantha digitale,sealifebase,Medusa digitale,synonym,Aglantha,Rhopalonematidae,Trachymedusae,Hydrozoa,Pink helmet,0,0,1
056,50829,Belgium,Alcyonidium diaphanum,sealifebase,Alcyonidium diaphanum,accepted name,Alcyonidium,Alcyonidiidae,Ctenostomatida,Gymnolaemata,Sea chervil,0,0,1
056,51848,Belgium,Alcyonidium parasiticum,sealifebase,Alcyonidium parasiticum,accepted name,Alcyonidium,Alcyonidiidae,Ctenostomatida,Gymnolaemata,NA,0,0,1
056,43607,Belgium,Alcyonium digitatum,sealifebase,Alcyonium digitatum,accepted name,Alcyonium,Alcyoniidae,Malacalcyonacea,Octocorallia,Dead mans fingers,0,0,1
528,8462,Netherlands,Alderia modesta,sealifebase,Alderia amphibia,synonym,Alderia,Stiligeridae,Sacoglossa,Gastropoda,Modest alderia,0,1,1
528,8462,Netherlands,Alderia modesta,sealifebase,Alderia harvardiensis,synonym,Alderia,Stiligeridae,Sacoglossa,Gastropoda,Modest alderia,0,1,1
528,8462,Netherlands,Alderia modesta,sealifebase,Alderia modesta,accepted name,Alderia,Stiligeridae,Sacoglossa,Gastropoda,Modest alderia,0,1,1
528,8462,Netherlands,Alderia modesta,sealifebase,Alderia scaldiana,synonym,Alderia,Stiligeridae,Sacoglossa,Gastropoda,Modest alderia,0,1,1
056,140760,Belgium,Alitta succinea,sealifebase,Alitta succinea,accepted name,Alitta,Nereididae,Phyllodocida,Polychaeta,NA,0,0,1
056,140760,Belgium,Alitta succinea,sealifebase,Neanthes oxypoda,synonym,Alitta,Nereididae,Phyllodocida,Polychaeta,NA,0,0,1
056,38888,Belgium,Alitta virens,sealifebase,Alitta virens,accepted name,Alitta,Nereididae,Phyllodocida,Polychaeta,King ragworm,0,1,1
056,38888,Belgium,Alitta virens,sealifebase,Neanthes virens,synonym,Alitta,Nereididae,Phyllodocida,Polychaeta,King ragworm,0,1,1
056,38888,Belgium,Alitta virens,sealifebase,Nereis virens,synonym,Alitta,Nereididae,Phyllodocida,Polychaeta,King ragworm,0,1,1
826,140693,UK,Alloteuthis media,sealifebase,Alloteuthis media,accepted name,Alloteuthis,Loliginidae,Myopsida,Cephalopoda,Midsize squid,0,1,1
826,140693,UK,Alloteuthis media,sealifebase,Loligo marmorae,synonym,Alloteuthis,Loliginidae,Myopsida,Cephalopoda,Midsize squid,0,1,1
826,140693,UK,Alloteuthis media,sealifebase,Loligo parva,synonym,Alloteuthis,Loliginidae,Myopsida,Cephalopoda,Midsize squid,0,1,1
826,140693,UK,Alloteuthis media,sealifebase,Loligo urceolatus,synonym,Alloteuthis,Loliginidae,Myopsida,Cephalopoda,Midsize squid,0,1,1
826,140693,UK,Alloteuthis media,sealifebase,Sepia media,synonym,Alloteuthis,Loliginidae,Myopsida,Cephalopoda,Midsize squid,0,1,1
