DTNHM4988-22.COI-5P	k__Animalia; p__Chordata; c__Aplacophora; o__Not assigned; f__Chaetodermidae; g__Chaetoderma; s__nitidulum
ADMAB023-23.COI-5P	k__Animalia; p__Chordata; c__Ascidiacea; o__Stolidobranchia; f__Styelidae; g__Botryllus; s__schlosseri
ADMAB024-23.COI-5P	k__Animalia; p__Chordata; c__Ascidiacea; o__Stolidobranchia; f__Styelidae; g__Botryllus; s__schlosseri
ADMAB076-23.COI-5P	k__Animalia; p__Chordata; c__Ascidiacea; o__Stolidobranchia; f__Styelidae; g__Botryllus; s__schlosseri
CCMAS014-21.COI-5P	k__Animalia; p__Chordata; c__Ascidiacea; o__Stolidobranchia; f__Styelidae; g__Botryllus; s__schlosseri
1122285480	k__Animalia; p__Chordata; c__Ascidiacea; o__Stolidobranchia; f__Styelidae; g__Styela; s__clava
1700657369	k__Animalia; p__Chordata; c__Ascidiacea; o__Stolidobranchia; f__Styelidae; g__Styela; s__clava
1706846545	k__Animalia; p__Chordata; c__Ascidiacea; o__Stolidobranchia; f__Styelidae; g__Styela; s__clava
1789076506	k__Animalia; p__Chordata; c__Ascidiacea; o__Stolidobranchia; f__Styelidae; g__Styela; s__clava
1789076514	k__Animalia; p__Chordata; c__Ascidiacea; o__Stolidobranchia; f__Styelidae; g__Styela; s__clava
220063635	k__Animalia; p__Chordata; c__Ascidiacea; o__Stolidobranchia; f__Styelidae; g__Styela; s__clava
23168358	k__Animalia; p__Chordata; c__Ascidiacea; o__Stolidobranchia; f__Styelidae; g__Styela; s__clava
2987896825	k__Animalia; p__Chordata; c__Ascidiacea; o__Stolidobranchia; f__Styelidae; g__Styela; s__clava
325516967	k__Animalia; p__Chordata; c__Ascidiacea; o__Stolidobranchia; f__Styelidae; g__Styela; s__clava
325516969	k__Animalia; p__Chordata; c__Ascidiacea; o__Stolidobranchia; f__Styelidae; g__Styela; s__clava
325516971	k__Animalia; p__Chordata; c__Ascidiacea; o__Stolidobranchia; f__Styelidae; g__Styela; s__clava
325516973	k__Animalia; p__Chordata; c__Ascidiacea; o__Stolidobranchia; f__Styelidae; g__Styela; s__clava
325516979	k__Animalia; p__Chordata; c__Ascidiacea; o__Stolidobranchia; f__Styelidae; g__Styela; s__clava
325516985	k__Animalia; p__Chordata; c__Ascidiacea; o__Stolidobranchia; f__Styelidae; g__Styela; s__clava
DISA099-18.COI-5P	k__Animalia; p__Chordata; c__Ascidiacea; o__Stolidobranchia; f__Styelidae; g__Styela; s__clava
LOBO014-12.COI-5P	k__Animalia; p__Chordata; c__Ascidiacea; o__Stolidobranchia; f__Styelidae; g__Styela; s__clava
1104533097	k__Animalia; p__Chordata; c__Asteroidea; o__Forcipulatida; f__Asteriidae; g__Asterias; s__rubens
1130479683	k__Animalia; p__Chordata; c__Asteroidea; o__Forcipulatida; f__Asteriidae; g__Asterias; s__rubens
1130479689	k__Animalia; p__Chordata; c__Asteroidea; o__Forcipulatida; f__Asteriidae; g__Asterias; s__rubens
1130479693	k__Animalia; p__Chordata; c__Asteroidea; o__Forcipulatida; f__Asteriidae; g__Asterias; s__rubens
1130479719	k__Animalia; p__Chordata; c__Asteroidea; o__Forcipulatida; f__Asteriidae; g__Asterias; s__rubens
2864045400	k__Animalia; p__Chordata; c__Asteroidea; o__Forcipulatida; f__Asteriidae; g__Asterias; s__rubens
2864045416	k__Animalia; p__Chordata; c__Asteroidea; o__Forcipulatida; f__Asteriidae; g__Asterias; s__rubens
301506453	k__Animalia; p__Chordata; c__Asteroidea; o__Forcipulatida; f__Asteriidae; g__Asterias; s__rubens
301506469	k__Animalia; p__Chordata; c__Asteroidea; o__Forcipulatida; f__Asteriidae; g__Asterias; s__rubens
GEANS232-21.COI-5P	k__Animalia; p__Chordata; c__Asteroidea; o__Forcipulatida; f__Asteriidae; g__Asterias; s__rubens
MOBIL840-15.COI-5P	k__Animalia; p__Chordata; c__Asteroidea; o__Forcipulatida; f__Asteriidae; g__Asterias; s__rubens
2580832963	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Hiatellidae; g__Hiatella; s__arctica
2868138542	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Ensis; s__ensis
2868138544	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Ensis; s__ensis
588479603	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Ensis; s__ensis
ENSI013-22.COI-5P	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Ensis; s__ensis
ENSI017-22.COI-5P	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Ensis; s__ensis
ENSI019-22.COI-5P	k__Animalia; p__Chordata; c__Bivalvia; o__Adapedonta; f__Pharidae; g__Ensis; s__ensis
