speciesName,status,SpecCode,validName,class,order,family,genus,commonName,commonSpecies,C_Code,country,database,databaseVersion
Prionace glauca,accepted name,898,Prionace glauca,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Blue shark,TRUE,826,UK,fishbase,24.07
Carcharhinus macki,synonym,898,Prionace glauca,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Blue shark,TRUE,826,UK,fishbase,24.07
Carcharias glaucus,synonym,898,Prionace glauca,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Blue shark,TRUE,826,UK,fishbase,24.07
Carcharias gracilis,synonym,898,Prionace glauca,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Blue shark,TRUE,826,UK,fishbase,24.07
Carcharias hirundinaceus,synonym,898,Prionace glauca,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Blue shark,TRUE,826,UK,fishbase,24.07
Carcharias pugae,synonym,898,Prionace glauca,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Blue shark,TRUE,826,UK,fishbase,24.07
Carcharias rondeletii,synonym,898,Prionace glauca,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Blue shark,TRUE,826,UK,fishbase,24.07
Carcharinus glaucus,synonym,898,Prionace glauca,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Blue shark,TRUE,826,UK,fishbase,24.07
Glyphis glaucus,synonym,898,Prionace glauca,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Blue shark,TRUE,826,UK,fishbase,24.07
Hypoprion isodus,synonym,898,Prionace glauca,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Blue shark,TRUE,826,UK,fishbase,24.07
Isurus glaucus,synonym,898,Prionace glauca,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Blue shark,TRUE,826,UK,fishbase,24.07
Prionace mackiei,synonym,898,Prionace glauca,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Blue shark,TRUE,826,UK,fishbase,24.07
Prionacea glauca,synonym,898,Prionace glauca,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Blue shark,TRUE,826,UK,fishbase,24.07
Squalus adscensionis,synonym,898,Prionace glauca,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Blue shark,TRUE,826,UK,fishbase,24.07
Squalus glaucus,synonym,898,Prionace glauca,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Blue shark,TRUE,826,UK,fishbase,24.07
Thalassinus rondeletii,synonym,898,Prionace glauca,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Blue shark,TRUE,826,UK,fishbase,24.07
Thalassinus rondelettii,synonym,898,Prionace glauca,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Blue shark,TRUE,826,UK,fishbase,24.07
Galeus melastomus,accepted name,807,Galeus melastomus,Elasmobranchii,Carcharhiniformes,Pentanchidae,Galeus,Blackmouth catshark,TRUE,056,Belgium,fishbase,24.07
Galeus melanostomus,synonym,807,Galeus melastomus,Elasmobranchii,Carcharhiniformes,Pentanchidae,Galeus,Blackmouth catshark,TRUE,056,Belgium,fishbase,24.07
