source;dbid;taxon;action;note;barcode
GENBANK;1084353640;Anarhichas denticulatus;REMOVE;Blasts as Anarhichas lupus;12s.miya
GENBANK;1209184851;Anarhichas denticulatus;REMOVE;Blasts as Anarhichas lupus;12s.miya
GENBANK;1398520363;Anarhichas denticulatus;REMOVE;Blasts as Anarhichas lupus;12s.miya
GENBANK;1790179280;Anarhichas denticulatus;REMOVE;Blasts as Anarhichas lupus;12s.miya
BOLD;NBMF173-16.COI-5P;Anarhichas denticulatus;REMOVE;Blasts as Anarhichas lupus;coi.lerayxt
GENBANK;321118775;Anguilla anguilla;REMOVE;Blasts as Anguilla rostrata;coi.lerayxt
GENBANK;321119081;Anguilla anguilla;REMOVE;Blasts as Anguilla rostrata;coi.lerayxt
GENBANK;1013181222;Anguilla anguilla;REMOVE;Wacky sequence very different from others;coi.lerayxt
GENBANK;1013181223;Anguilla anguilla;REMOVE;Wacky sequence very different from others;coi.lerayxt
GENBANK;1728374130;Anguilla anguilla;REMOVE;Blasts as Anguilla bengalensis;coi.lerayxt
GENBANK;1728374134;Anguilla anguilla;REMOVE;Blasts as Anguilla bicolor;coi.lerayxt
BOLD;HNDSA001-19.COI-5P;Anguilla anguilla;REMOVE;Sativa: Bad quality sequence?;coi.lerayxt
GENBANK;294988784;Arctozenus risso;REMOVE;Wacky sequence very different from others;coi.lerayxt
GENBANK;1240948944;Arctozenus risso;REMOVE;Wacky sequence very different from others;coi.lerayxt
GENBANK;2497635833;Arctozenus risso;REMOVE;Wacky sequence very different from others;12s.miya
GENBANK;2580283247;Arctozenus risso;REMOVE;Wacky sequence very different from others;coi.lerayxt
BOLD;DSSAF657-11.COI-5P;Arctozenus risso;REMOVE;Blasts as Magnisudis atlantica;coi.lerayxt
BOLD;FMVIC280-08.COI-5P;Arctozenus risso;REMOVE;Blasts as Magnisudis sp.;coi.lerayxt
BOLD;FOAG512-08.COI-5P;Arctozenus risso;REMOVE;Blasts as Diplophos rebainsi;coi.lerayxt
BOLD;FOAQ388-21.COI-5P;Arctozenus risso;REMOVE;Wacky sequence very different from others;coi.lerayxt
BOLD;GLF024-13.COI-5P;Arctozenus risso;REMOVE;Wacky sequence very different from others;coi.lerayxt
GENBANK;2510678348;Argentina silus;REMOVE;Wacky sequence very different from others;12s.miya
GENBANK;294988790;Argyropelecus hemigymnus;REMOVE;Bad quality sequence? Blasts only against itself;coi.lerayxt
GENBANK;307604437;Argyropelecus hemigymnus;REMOVE;Blasts as Argyropelecus aculeatus;coi.lerayxt
BOLD;312849961;Argyropelecus hemigymnus;REMOVE;Wacky sequence very different from others;coi.lerayxt
BOLD;312849969;Argyropelecus hemigymnus;REMOVE;Wacky sequence very different from others;coi.lerayxt
BOLD;312849975;Argyropelecus hemigymnus;REMOVE;Wacky sequence very different from others;coi.lerayxt
GENBANK;343223506;Argyropelecus hemigymnus;REMOVE;Bad quality sequence? Blasts only against itself;coi.lerayxt
GENBANK;343223508;Argyropelecus hemigymnus;REMOVE;Bad quality sequence? Blasts only against itself;coi.lerayxt
GENBANK;343223510;Argyropelecus hemigymnus;REMOVE;Blasts as Argyropelecus affinis & Argyropelecus aculeatus;coi.lerayxt
GENBANK;343223512;Argyropelecus hemigymnus;REMOVE;Blasts as Argyropelecus gigas;coi.lerayxt
GENBANK;343223514;Argyropelecus hemigymnus;REMOVE;Blasts as Argyropelecus sladeni & Argyropelecus aculeatus;coi.lerayxt
GENBANK;343223516;Argyropelecus hemigymnus;REMOVE;Blasts as Argyropelecus sladeni & Argyropelecus aculeatus;coi.lerayxt
BOLD;343223518;Argyropelecus hemigymnus;REMOVE;Wacky sequence very different from others;coi.lerayxt
GENBANK;343223520;Argyropelecus hemigymnus;REMOVE;Wacky sequence very different from others;coi.lerayxt
GENBANK;343223522;Argyropelecus hemigymnus;REMOVE;Wacky sequence very different from others;coi.lerayxt
GENBANK;343223524;Argyropelecus hemigymnus;REMOVE;Wacky sequence very different from others;coi.lerayxt
BOLD;DSFIB822-17.COI-5P;Argyropelecus hemigymnus;REMOVE;Wacky sequence very different from others;coi.lerayxt
BOLD;FOAK011-10.COI-5P;Argyropelecus hemigymnus;REMOVE;Wacky sequence very different from others;coi.lerayxt
BOLD;FOAK012-10.COI-5P;Argyropelecus hemigymnus;REMOVE;Wacky sequence very different from others;coi.lerayxt
BOLD;FOAN1325-12.COI-5P;Argyropelecus hemigymnus;REMOVE;Wacky sequence very different from others;coi.lerayxt
BOLD;FOAO653-15.COI-5P;Argyropelecus hemigymnus;REMOVE;Wacky sequence very different from others;coi.lerayxt
BOLD;FOAO826-15.COI-5P;Argyropelecus hemigymnus;REMOVE;Wacky sequence very different from others;coi.lerayxt
BOLD;FOAQ226-21.COI-5P;Argyropelecus hemigymnus;REMOVE;Wacky sequence very different from others;coi.lerayxt
BOLD;FOAQ227-21.COI-5P;Argyropelecus hemigymnus;REMOVE;Wacky sequence very different from others;coi.lerayxt
BOLD;FOAQ421-21.COI-5P;Argyropelecus hemigymnus;REMOVE;Wacky sequence very different from others;coi.lerayxt
BOLD;SEAMT009-11.COI-5P;Argyropelecus hemigymnus;REMOVE;Wacky sequence very different from others;coi.lerayxt
BOLD;SEAMT011-11.COI-5P;Argyropelecus hemigymnus;REMOVE;Wacky sequence very different from others;coi.lerayxt
BOLD;SEAMT014-11.COI-5P;Argyropelecus hemigymnus;REMOVE;Wacky sequence very different from others;coi.lerayxt
BOLD;SEAMT016-11.COI-5P;Argyropelecus hemigymnus;REMOVE;Wacky sequence very different from others;coi.lerayxt
BOLD;SEAMT202-11.COI-5P;Argyropelecus hemigymnus;REMOVE;Wacky sequence very different from others;coi.lerayxt
GENBANK;343223526;Argyropelecus olfersii;REMOVE;Blasts as Argyropelecus aculeatus;coi.lerayxt
GENBANK;343223528;Argyropelecus olfersii;REMOVE;Sativa: Nested in a cluster of Argyropelecus hemigymnus;coi.lerayxt
GENBANK;1537915510;Argyrosomus regius;REMOVE;Bad quality sequence? Blasts only against itself;coi.lerayxt
GENBANK;2003948021;Argyrosomus regius;REMOVE;Sativa: Grouped with Acropomatiformes;coi.lerayxt
GENBANK;187943709;Arnoglossus thori;REMOVE;Wacky sequence very different from others;coi.lerayxt
GENBANK;187943711;Arnoglossus thori;REMOVE;Wacky sequence very different from others;coi.lerayxt
GENBANK;187943713;Arnoglossus thori;REMOVE;Wacky sequence very different from others;coi.lerayxt
GENBANK;429139731;Artediellus atlanticus;REMOVE;Wacky sequence very different from others;coi.lerayxt
GENBANK;1825511874;Artediellus atlanticus;REMOVE;Blasts as Icelus bicornis;12s.miya
GENBANK;2333441062;Artediellus atlanticus;REMOVE;Blasts as Artediellus scaber;12s.miya
BOLD;SCFAD214-09.COI-5P;Artediellus atlanticus;REMOVE;Sativa: Grouped with Triglops;coi.lerayxt
BOLD;SCFAD215-09.COI-5P;Artediellus atlanticus;REMOVE;Sativa: Grouped with Triglops;coi.lerayxt
BOLD;SCFAD304-09.COI-5P;Artediellus atlanticus;REMOVE;Sativa: Grouped with Psychrolutidae;coi.lerayxt
GENBANK;1209184411;Atherina boyeri;REMOVE;Wacky sequence very different from others;12s.miya
GENBANK;2018537063;Atherina boyeri;REMOVE;Blasts as Atherina presbyter;12s.miya
GENBANK;2018537098;Atherina boyeri;REMOVE;Blasts as Atherina presbyter;12s.miya
GENBANK;2018537110;Atherina boyeri;REMOVE;Blasts as Atherina presbyter;12s.miya
GENBANK;2018537169;Atherina boyeri;REMOVE;Blasts as Atherina presbyter;12s.miya
GENBANK;2262616146;Atherina boyeri;REMOVE;Wacky sequence very different from others;coi.lerayxt
GENBANK;723115755;Auxis rochei;REMOVE;Sativa: Nested in a cluster of Auxis thazard;coi.lerayxt
GENBANK;1002677636;Auxis rochei;REMOVE;Sativa: Nested in a cluster of Auxis thazard;coi.lerayxt
GENBANK;1181529324;Auxis rochei;REMOVE;Wacky sequence very different from others;coi.lerayxt
