C_Code,SpecCode,country,Species,database,synonym,Status,Genus,Family,Order,Class,CommonName,Fresh,Brack,Saltwater
056,24,Belgium,Clupea harengus,fishbase,Clupea harengus septemtrionalis,synonym,Clupea,Clupeidae,Clupeiformes,Teleostei,Atlantic herring,0,1,1
056,24,Belgium,Clupea harengus,fishbase,Clupea islandicus,synonym,Clupea,Clupeidae,Clupeiformes,Teleostei,Atlantic herring,0,1,1
056,24,Belgium,Clupea harengus,fishbase,Clupea ivernicus,synonym,Clupea,Clupeidae,Clupeiformes,Teleostei,Atlantic herring,0,1,1
056,24,Belgium,Clupea harengus,fishbase,Clupea leachii,synonym,Clupea,Clupeidae,Clupeiformes,Teleostei,Atlantic herring,0,1,1
056,24,Belgium,Clupea harengus,fishbase,Clupea membras,synonym,Clupea,Clupeidae,Clupeiformes,Teleostei,Atlantic herring,0,1,1
056,24,Belgium,Clupea harengus,fishbase,Clupea minima,synonym,Clupea,Clupeidae,Clupeiformes,Teleostei,Atlantic herring,0,1,1
056,24,Belgium,Clupea harengus,fishbase,Clupea norvegivus,synonym,Clupea,Clupeidae,Clupeiformes,Teleostei,Atlantic herring,0,1,1
056,24,Belgium,Clupea harengus,fishbase,Clupea palassi probatowi,synonym,Clupea,Clupeidae,Clupeiformes,Teleostei,Atlantic herring,0,1,1
056,24,Belgium,Clupea harengus,fishbase,Clupea scandicus,synonym,Clupea,Clupeidae,Clupeiformes,Teleostei,Atlantic herring,0,1,1
056,24,Belgium,Clupea harengus,fishbase,Clupea scoticus,synonym,Clupea,Clupeidae,Clupeiformes,Teleostei,Atlantic herring,0,1,1
056,24,Belgium,Clupea harengus,fishbase,Clupea septemtrionalis,synonym,Clupea,Clupeidae,Clupeiformes,Teleostei,Atlantic herring,0,1,1
056,24,Belgium,Clupea harengus,fishbase,Cyprinus esca,synonym,Clupea,Clupeidae,Clupeiformes,Teleostei,Atlantic herring,0,1,1
056,24,Belgium,Clupea harengus,fishbase,Rogenia alba,synonym,Clupea,Clupeidae,Clupeiformes,Teleostei,Atlantic herring,0,1,1
