speciesName,status,SpecCode,validName,class,order,family,genus,commonName,commonSpecies,C_Code,country,database,databaseVersion
Scyliorhinus caniculus,synonym,845,Scyliorhinus canicula,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Scyliorhinus,Lesser spotted dogfish,TRUE,056,Belgium,fishbase,24.07
Scyliorhinus cannicula,synonym,845,Scyliorhinus canicula,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Scyliorhinus,Lesser spotted dogfish,TRUE,056,Belgium,fishbase,24.07
Scyllium canicula,synonym,845,Scyliorhinus canicula,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Scyliorhinus,Lesser spotted dogfish,TRUE,056,Belgium,fishbase,24.07
Scyllium caniculus,synonym,845,Scyliorhinus canicula,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Scyliorhinus,Lesser spotted dogfish,TRUE,056,Belgium,fishbase,24.07
Scyllium catulus,synonym,845,Scyliorhinus canicula,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Scyliorhinus,Lesser spotted dogfish,TRUE,056,Belgium,fishbase,24.07
Squalus canicula,synonym,845,Scyliorhinus canicula,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Scyliorhinus,Lesser spotted dogfish,TRUE,056,Belgium,fishbase,24.07
Squalus catulus,synonym,845,Scyliorhinus canicula,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Scyliorhinus,Lesser spotted dogfish,TRUE,056,Belgium,fishbase,24.07
Squalus elegans,synonym,845,Scyliorhinus canicula,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Scyliorhinus,Lesser spotted dogfish,TRUE,056,Belgium,fishbase,24.07
Scyliorhinus stellaris,accepted name,854,Scyliorhinus stellaris,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Scyliorhinus,Nursehound,TRUE,056,Belgium,fishbase,24.07
Scyllium catulus,synonym,854,Scyliorhinus stellaris,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Scyliorhinus,Nursehound,TRUE,056,Belgium,fishbase,24.07
Squalus stellaris,synonym,854,Scyliorhinus stellaris,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Scyliorhinus,Nursehound,TRUE,056,Belgium,fishbase,24.07
Galeorhinus galeus,accepted name,4642,Galeorhinus galeus,Elasmobranchii,Carcharhiniformes,Triakidae,Galeorhinus,Tope shark,TRUE,056,Belgium,fishbase,24.07
Carcharhinus cyrano,synonym,4642,Galeorhinus galeus,Elasmobranchii,Carcharhiniformes,Triakidae,Galeorhinus,Tope shark,TRUE,056,Belgium,fishbase,24.07
Eugaleus galeus,synonym,4642,Galeorhinus galeus,Elasmobranchii,Carcharhiniformes,Triakidae,Galeorhinus,Tope shark,TRUE,056,Belgium,fishbase,24.07
Galeorhinus australis,synonym,4642,Galeorhinus galeus,Elasmobranchii,Carcharhiniformes,Triakidae,Galeorhinus,Tope shark,TRUE,056,Belgium,fishbase,24.07
Galeorhinus chilensis,synonym,4642,Galeorhinus galeus,Elasmobranchii,Carcharhiniformes,Triakidae,Galeorhinus,Tope shark,TRUE,056,Belgium,fishbase,24.07
Galeorhinus galeo,synonym,4642,Galeorhinus galeus,Elasmobranchii,Carcharhiniformes,Triakidae,Galeorhinus,Tope shark,TRUE,056,Belgium,fishbase,24.07
Galeorhinus vitaminicus,synonym,4642,Galeorhinus galeus,Elasmobranchii,Carcharhiniformes,Triakidae,Galeorhinus,Tope shark,TRUE,056,Belgium,fishbase,24.07
Galeorhinus zyopterus,synonym,4642,Galeorhinus galeus,Elasmobranchii,Carcharhiniformes,Triakidae,Galeorhinus,Tope shark,TRUE,056,Belgium,fishbase,24.07
Galeus australis,synonym,4642,Galeorhinus galeus,Elasmobranchii,Carcharhiniformes,Triakidae,Galeorhinus,Tope shark,TRUE,056,Belgium,fishbase,24.07
